OBJECTID;ZONE_ID;ZONE_TYPE;NAAM;OMSCHRIJVING;GEOGRAPHY_ID;GEOGRAPHY_TYPE;STARTDATUM;PUBLICATIEDATUM;EINDDATUM;CAPACITEIT_AUTO;CAPACITEIT_SCOOTER;CAPACITEIT_BAKFIETS;CAPACITEIT_FIETS;CAPACITEIT_MIX;geo_shape;geo_point_2d
2593;53454;Digitale Hub;Raiffeisenstraat;11.111.2.1006: 16c Raiffeisenstraat;8c912d04-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;0;4;0;4;;"{""coordinates"": [5.480769493572813, 51.44053251156086], ""type"": ""Point""}";51.44053251156086, 5.480769493572813
2595;53455;Digitale Hub;Groene Toren;11.111.2.1007: 17a Vestdijk;97bd0f0e-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;0;4;0;4;;"{""coordinates"": [5.480198494079939, 51.44033351135741], ""type"": ""Point""}";51.44033351135741, 5.480198494079939
2596;53457;Digitale Hub;Heuvelgalerie;11.111.2.1009: 17e Vestdijk;9c6c5fe6-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;4;;4;;"{""coordinates"": [5.481198994300447, 51.43916551155694], ""type"": ""Point""}";51.43916551155694, 5.481198994300447
2599;53451;Digitale Hub;Effenaar;11.111.2.1003: 15 Effenaar;859bf3e4-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;0;15;0;15;;"{""coordinates"": [5.482771993932341, 51.441742510939214], ""type"": ""Point""}";51.441742510939214, 5.482771993932341
2601;53381;Fysieke Hub;Buurtschap Te Veld - 't Kwartiertje;53.535.3c.0018: Hub BtV Kwartier;674bec38-641a-11ee-8c09-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;1;6;1;6;;"{""coordinates"": [5.453420871846531, 51.49229410672775], ""type"": ""Point""}";51.49229410672775, 5.453420871846531
2604;53460;Digitale Hub;Augustijnenkerk;11.111.2.1011: 18a Pullman;a3362190-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;10;;10;;"{""coordinates"": [5.4826593419471195, 51.43836571736788], ""type"": ""Point""}";51.43836571736788, 5.4826593419471195
2618;55890;Fysieke Hub;Beatrix de Rijkweg;63.637.3a.0013: Zone;96f1b3c0-ecf3-11ee-bf8b-82366b51b915;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;1;4;0;5;;"{""coordinates"": [5.396882520124644, 51.45590857605487], ""type"": ""Point""}";51.45590857605487, 5.396882520124644
2302;53494;Digitale Hub;Stratumseind;11.111.2.1046: 56 Bleekweg;f02aebf2-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;;;;10;"{""coordinates"": [5.483884994374909, 51.43532101128327], ""type"": ""Point""}";51.43532101128327, 5.483884994374909
2561;53470;Digitale Hub;Clausplein;11.113.2.1022: 29 Clausplein;b811b728-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.473517493417897, 51.43876751094939], ""type"": ""Point""}";51.43876751094939, 5.473517493417897
2567;53477;Digitale Hub;Deken van Somerenstraat;11.112.2.1029: 38a Grote Berg;c6efc73a-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.475723493077036, 51.43570151097811], ""type"": ""Point""}";51.43570151097811, 5.475723493077036
