driver_id,model,ac_kW,annual_km,annual_kWh,sessions,location,plugin_hour,window_h,has_solar,pv_kwp,cost_fix,cost_unc,cost_po,cost_sm,cost_sm_ext,peak_kwh_unc,peak_kwh_sm,peak_kwh_sm_ext,sc_kwh_total,solar_value_total,ere_revenue_ext,ere_revenue_grid_only,value_baseline_smart,value_extended
31,MG4 Electric,11.0,11236.373571526283,1597.8123218710375,42,public,14,3,False,0.0,437.71266000000037,303.51422296800007,303.51422296800007,303.7549116646957,303.7549116646957,0.0,0.0,0.0,0.0,0.0,112.29967530936005,130.76931286269053,264.72706119799517,246.2574236446647
32,Tesla Model 3,11.0,12754.019358808839,1492.220264980634,42,private,15,14,False,0.0,517.4111570965457,402.6134416226789,350.1545809786366,366.8201927170129,366.8201927170129,697.9785488919938,8.967391304347828,8.967391304347828,0.0,0.0,132.74714271088803,122.12737129401692,272.71833567354975,283.33810709042086
33,Tesla Model 3,11.0,10820.171005203209,1265.9600076087754,40,private,23,15,True,6.877021619131108,438.9578722034775,326.86084325502935,265.93657781056413,281.0978893201505,201.191530865296,0.0,0.0,0.0,396.70700683739045,98.7800447025102,144.44380693241874,103.60961549776293,261.46959838108995,480.9901929731104
34,Kia EV3,11.0,9352.861609341682,1252.3481694908512,40,private,14,12,False,0.0,434.23811529084963,348.2917079853187,299.39010415461127,316.1891421277613,316.1891421277613,41.248010316142434,81.02556650690912,81.02556650690912,0.0,0.0,111.4082452038532,102.49558558754498,220.54455875063334,229.45721836694156
35,Volvo EX30,11.0,10042.30398581947,1350.6898860927186,40,private,20,12,False,0.0,468.33703659084455,396.9696051606924,345.93121849754726,350.7644581243992,350.7644581243992,880.0,3.8043478260869565,3.8043478260869565,0.0,0.0,120.15667343160638,110.54413955707783,228.11671802352316,237.72925189805173
36,Tesla Model Y,11.0,12338.263727236896,2033.3458622486403,46,private,11,13,True,6.5933230753064755,705.0405761492569,453.0507212857359,444.93429714133475,465.8384789312577,339.26568193944564,0.0,318.56362855004164,340.5917313676976,601.8325779493885,149.8563119093977,229.16565467770295,166.41456420055752,405.61666141855676,744.796860796912
37,Kia EV3,11.0,10956.555307727904,1467.0827557047662,40,workplace,19,8,True,3.2433733101808664,508.6949989889353,436.2276910230815,383.01782964096395,387.3330214552688,386.874326337286,1320.0,100.87162565657502,111.9450894003631,3.31436348537609,0.8252765078586466,130.77680801105097,120.07004906030464,241.43202659397116,253.42275717055895
38,Volvo EX30,11.0,11695.05984934166,1572.985549736453,41,public,10,3,False,0.0,427.29093000000034,286.78902071600004,286.56433460600005,286.6671889356958,286.6671889356958,0.0,0.0,0.0,0.0,0.0,109.62587351628005,128.73742220306883,269.3611632673734,250.24961458058462
39,Hyundai Kona Electric,11.0,12417.473540422796,1545.975455782638,41,workplace,10,8,True,2.487723533864913,536.0501852115883,326.45001893428423,317.5479861170273,326.5868678723082,280.562340800677,0.0,19.47112702983234,30.931215688829212,228.35313369250883,56.85993028943469,155.84813911808453,126.52684253839267,335.9901598776728,468.19591381843054
40,Kia EV3,11.0,10129.097196254235,1356.286114578442,40,private,18,13,False,0.0,470.2774679896992,434.559267484043,339.3538585429304,343.3796815352876,343.3796815352876,1474.2240375852634,4.891304347826087,4.891304347826087,0.0,0.0,120.65451102225636,111.00215014047583,237.8999365948874,247.55229747666795
