driver,annual_kWh,sessions,cost_unc,cost_po,cost_smart,peak_unc,peak_po,peak_smart,savings_po_eur,savings_smart_eur,savings_po_pct,savings_smart_pct,peak_drop_smart_pct
25,2397.851866012345,89,795.640921416484,634.8813096319315,646.4936105248788,11.0,0.20544889836213379,0.14067688314076776,160.7596117845526,149.14731089160523,20.20504570055941,18.745555548610724,98.72111924417484
26,3077.0088555156217,94,842.6392575719913,807.4217834955272,788.8817352363413,0.0,0.0,0.0,35.2174740764641,53.757522335649924,4.17942479655421,6.379660317577493,
27,2264.372125355778,112,621.4714349589358,589.6390433841373,599.3780964620643,0.0,0.0,0.0,31.83239157479852,22.093338496871525,5.122100515674043,3.555004663783358,
28,2579.2070902577275,132,726.2483865081447,652.2822334894821,670.0525433388101,11.0,0.16666666666666666,0.07411067193675891,73.96615301866257,56.19584316933458,10.184690856842689,7.737826921658071,99.32626661875675
29,2996.3047089485003,110,894.7649661188382,793.4365738686726,782.2772930164479,11.0,0.20748420111799315,0.214706199954815,101.32839225016562,112.48767310239032,11.324581994944547,12.571756535162585,98.04812545495622
30,3169.7516400762634,120,949.080580220956,840.9982909230616,834.4281168598426,11.0,0.5546466032896524,0.11620646740281755,108.08228929789436,114.6524633611134,11.38810460885541,12.080371862041588,98.9435775690653
31,3539.49072978192,119,1064.802130336746,914.5847207990108,945.655219451168,11.0,0.36411782588600045,0.3261939849104492,150.21740953773508,119.14691088557788,14.107542167503789,11.189582316847678,97.03460013717773
32,2656.4279346847143,99,750.5904004468302,689.2783378042301,693.6672908787212,11.0,0.2946048023809365,0.1344971453667106,61.312062642600154,56.923109568109,8.16851142861683,7.583777987864271,98.77729867848444
33,2933.9196812357654,100,980.4615151116392,763.7774737102163,771.1684094895538,11.0,0.0,0.26552601765994904,216.68404140142286,209.29310562208536,22.100208734531552,21.346386614496993,97.58612711218228
35,2573.2796268994066,80,756.2282092566736,670.4076632910904,679.5789836520082,11.0,0.275,0.32494558880764385,85.82054596558316,76.64922560466539,11.348498365320113,10.13572684362131,97.04594919265779
