voedingsgebied_id;jaar;aanwezige_transportcapaciteit_invoeding;aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_invoeding;benodigde_transportcapaciteit_afname;unieke_verzoeken_invoeding;unieke_verzoeken_afname;wachtrij_invoeding;wachtrij_afname;info;congestie_url;jaartal_opgelost_invoeding;jaartal_opgelost_afname;kwartaal;start;eind;RNB
CM11;2025;;40,0;;43,8;25,0;41,0;3,419;8,727;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2029,0;;;;Stedin
CM10;2025;;45,0;;49,4;11,0;47,0;75,504;5,443;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2029,0;;;;Stedin
CM09;2025;;30,4;;37,4;0,0;33,0;0,0;8,317;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2029,0;;;;Stedin
TT063_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT062_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT061_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT059_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT058_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT057_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT056_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT055_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT054_25;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT054_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT053_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT052_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
CM33;2025;10,0;;16,2;;8,0;3,0;6,248;2,05;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2026,0;;;;;Stedin
CM32;2025;10,0;;15,2;;4,0;2,0;5,615;;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2026,0;;;;;Stedin
CM31;2025;;29,4;;30,7;0,0;22,0;0,0;3,758;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2029,0;;;;Stedin
CM29/64;2025;150,0;150,0;167,0;171,0;42,0;42,0;15,742;21,228;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2029,0;2032,0;;;;Stedin
CM29/45;2025;;48,8;;85,5;3,0;2,0;0,576;;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2029,0;2033,0;;;;Stedin
CM28;2025;;4,1;;5,4;0,0;13,0;0,0;2,401;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2027,0;;;;Stedin
CM26;2025;;100,0;;110,9;0,0;69,0;0,0;27,562;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2033,0;;;;Stedin
CM24;2025;22,5;;19,9;;0,0;0,0;0,0;0,0;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2026,0;;;;;Stedin
CM23;2025;45,4;;46,2;;2,0;2,0;;;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2032,0;;;;;Stedin
CM22;2025;;175,0;;242,0;0,0;114,0;0,0;106,362;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2031,0;;;;Stedin
CM20;2025;45,0;;53,5;;9,0;4,0;3,26;0,367;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2028,0;;;;;Stedin
CM19/30;2025;10,0;10,0;12,6;10,2;7,0;4,0;0,415;0,784;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2028,0;2028,0;;;;Stedin
CM18;2025;;100,0;;102,0;;;;;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2029,0;;;;Stedin
