car,kwh,is_dc,stored_kwh,self_cons_value,arbitrage_value,backup,gross,capex_yr,net_vs_nothing,net_adv_vs_battery
Nissan Leaf (new),52.0,True,1308.0608603322878,431.660083909655,662.1726143775351,5.420582895445476,1099.2532811826354,886.3865597764791,212.86672140615633,262.86672140615633
VW ID.7 (77 kWh),77.0,True,2511.330896355145,828.7391957971979,0.0,21.783132554628136,850.522328351826,823.2590837650703,27.263244586755718,77.26324458675572
Nissan Leaf (new),52.0,True,2257.5270816625043,744.9839369486265,0.0,4.481815228160157,749.4657521767866,764.0,-14.534247823213377,35.46575217678662
VW ID.7 (77 kWh),77.0,True,0.0,0.0,0.0,32.081458245130136,32.081458245130136,860.491139134054,-828.409680888924,-778.409680888924
Renault 4 E-Tech,52.0,False,0.0,0.0,0.0,6.619073548397721,6.619073548397721,518.9327978070496,-512.3137242586519,-462.31372425865186
Kia EV6 (post-24),77.4,True,2123.680300209664,700.8144990691892,0.0,0.0,700.8144990691892,847.799413357737,-146.98491428854777,-96.98491428854777
Renault 5 E-Tech,52.0,False,1406.2180598191994,464.05195974033586,630.1284485369953,12.534577514623418,1106.7149857919544,465.10770027031066,641.6072855216437,691.6072855216437
Hyundai Ioniq 5/6,77.4,True,2856.964236502603,942.7981980458591,0.0,39.0209535924172,981.8191516382763,887.6934793511027,94.12567228717353,144.12567228717353
Kia EV9,99.8,True,0.0,0.0,336.3511040601614,18.05909235069183,354.41019641085325,782.6316446829688,-428.2214482721156,-378.2214482721156
Renault 5 E-Tech,52.0,False,0.0,0.0,209.7329066761634,52.4746621797198,262.2075688558832,613.2324321755605,-351.02486331967725,-301.02486331967725
Nissan Leaf (new),52.0,True,1816.8691359687264,599.5668148696798,0.0,26.434836575255428,626.0016514449352,894.9161884303452,-268.91453698541,-218.91453698541
Renault 5 E-Tech,52.0,False,1739.9869564790363,574.195695638082,0.0,37.696756577598485,611.8924522156806,533.449367427429,78.44308478825155,128.44308478825155
VW ID.7 (77 kWh),77.0,True,1613.3516100738514,532.4060313243709,0.0,46.79149535494907,579.19752667932,925.4841117394926,-346.28658506017257,-296.28658506017257
Hyundai Ioniq 5/6,77.4,True,1299.7894959350028,428.9305336585509,0.0,22.060706898006604,450.99124055655756,865.9967249951402,-415.00548443858264,-365.00548443858264
VW ID.7 (77 kWh),77.0,True,1370.8825548509749,452.3912431008217,466.5760616987674,30.98487089745568,949.9521756970448,878.795841335536,71.15633436150881,121.15633436150881
Nissan Leaf (new),52.0,True,0.0,0.0,0.0,6.583847427329109,6.583847427329109,919.3620119160487,-912.7781644887195,-862.7781644887195
Hyundai Ioniq 5/6,77.4,True,1768.1287190222558,583.4824772773444,0.0,21.569371523470043,605.0518488008145,885.9212947683394,-280.86944596752494,-230.86944596752494
Kia EV9,99.8,True,2293.9959458909298,757.0186621440068,0.0,16.52463252571869,773.5432946697256,792.6511246322527,-19.10782996252715,30.89217003747285
